Repository 1,Repository 2,Similarity Score
minvws/nl-covid19-coronacheck-app-bff,minvws/nl-covid19-coronacheck-app-provenance,0.5866244548124155
minvws/nl-covid19-coronacheck-app-bff,minvws/nl-covid19-coronacheck-app-android,0.6194552068739223
minvws/nl-covid19-coronacheck-app-bff,minvws/nl-covid19-coronacheck-app-ios,0.6194552068739225
minvws/nl-covid19-coronacheck-signature-demo-deprecated,minvws/nl-covid19-coronacheck-app-coronatestprovider-portal-deprecated,0.5331339692965598
minvws/nl-covid19-coronacheck-idemix,minvws/nl-covid19-coronacheck-app-design,0.531867355162244
minvws/nl-covid19-coronacheck-idemix,minvws/nl-covid19-coronacheck-website,0.5568940880763958
minvws/nl-covid19-coronacheck-idemix,minvws/nl-covid19-coronacheck-app-provenance,0.5004792297274911
minvws/nl-covid19-coronacheck-idemix,minvws/nl-covid19-coronacheck-hcert,0.5191612060337017
minvws/nl-covid19-coronacheck-idemix,minvws/nl-covid19-coronacheck-app-android,0.5284888180907505
minvws/nl-covid19-coronacheck-idemix,minvws/nl-covid19-coronacheck-app-ios,0.5284888180907505
minvws/nl-covid19-dbco-portal-design,minvws/nl-covid19-coronacheck-app-design,0.5463075126975439
minvws/pUZI-php,minvws/pUZI-laravel,0.547654346990757
minvws/pUZI-php,minvws/pUzi-python,0.5530529311624093
minvws/pUZI-laravel,minvws/pUzi-python,0.547654346990757
minvws/nl-covid19-coronacheck-app-coronatestprovider-example,minvws/nl-covid19-coronacheck-app-design,0.5392172086952483
minvws/nl-covid19-coronacheck-app-coronatestprovider-example,minvws/nl-covid19-coronacheck-app-coronatestprovider-portal-deprecated,0.6489939288346966
minvws/nl-covid19-coronacheck-app-coronatestprovider-example,minvws/nl-covid19-coronacheck-app-provenance,0.5073953320208642
minvws/nl-covid19-coronacheck-app-coronatestprovider-example,minvws/nl-covid19-coronacheck-app-android,0.5357919837562062
minvws/nl-covid19-coronacheck-app-coronatestprovider-example,minvws/nl-covid19-coronacheck-app-ios,0.5357919837562062
minvws/nl-covid19-coronacheck-app-dgcg-integration,minvws/nl-covid19-coronacheck-app-design,0.5303583547708501
minvws/nl-covid19-coronacheck-app-dgcg-integration,minvws/nl-covid19-coronacheck-app-android,0.5269894031979094
minvws/nl-covid19-coronacheck-app-dgcg-integration,minvws/nl-covid19-coronacheck-app-ios,0.5269894031979095
minvws/nl-covid19-coronacheck-app-design,minvws/nl-covid19-coronacheck-website,0.5705237261342189
minvws/nl-covid19-coronacheck-app-design,minvws/nl-covid19-coronacheck-app-provenance,0.6379431833304977
minvws/nl-covid19-coronacheck-app-design,minvws/nl-covid19-coronacheck-hcert,0.531867355162244
minvws/nl-covid19-coronacheck-app-design,minvws/nl-covid19-coronacheck-app-android,0.673646015541864
minvws/nl-covid19-coronacheck-app-design,minvws/nl-covid19-coronacheck-app-ios,0.6736460155418641
minvws/nl-covid19-coronacheck-app-design,etalab/design,0.5554885955554426
minvws/nl-covid19-coronacheck-website,minvws/nl-covid19-coronacheck-app-provenance,0.5368542968947786
minvws/nl-covid19-coronacheck-website,minvws/nl-covid19-coronacheck-hcert,0.5568940880763958
minvws/nl-covid19-coronacheck-website,minvws/nl-covid19-coronacheck-app-android,0.5668996353901591
minvws/nl-covid19-coronacheck-website,minvws/nl-covid19-coronacheck-app-ios,0.5668996353901591
minvws/nl-covid19-coronacheck-website,etalab/etalab-website,0.5471787485863497
minvws/nl-covid19-coronacheck-app-provenance,minvws/nl-covid19-coronacheck-hcert,0.5004792297274911
minvws/nl-covid19-coronacheck-app-provenance,minvws/nl-covid19-coronacheck-app-android,0.6338908295368884
minvws/nl-covid19-coronacheck-app-provenance,minvws/nl-covid19-coronacheck-app-ios,0.6338908295368885
minvws/nl-covid19-coronacheck-hcert,minvws/nl-covid19-coronacheck-app-android,0.5284888180907505
minvws/nl-covid19-coronacheck-hcert,minvws/nl-covid19-coronacheck-app-ios,0.5284888180907505
